Object ID,Name of site,Place,Region,Site description,Campsite category,Number of powered sites,Number of unpowered sites,Bookable,Free,Facilities,Activities,Dogs alllowed,Landscape type,Access by,Has alerts,URL to thumbnail,URL to webpage,Description of place,x,y,DOC system ID,Date loaded to GIS,GlobalID,x2,y2
156522,Hawdon Shelter Campsite,Arthur's Pass National Park,Canterbury,Camp in the lower reaches of the Hawdon Valley on the grassy flats. ,Standard,0,30,Yes,,"Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply",Walking and tramping,No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/9ff6e88220494894993231e60b49e343.jpg,https://www.doc.govt.nz/link/f3e789b9421f4b1db30e1b51a6f9651e.aspx,Located in Arthur's Pass National Park,1497922,5239772,100043674,6/25/2024 8:30:33 AM,19e070cd-1e5a-44ce-a330-336aa8f45dc3,1497922,5239772
156523,Lake Pearson (Moana Rua) Campsite,Craigieburn Forest Park,Canterbury,Camp beside a high-country lake in the Waimakariri Basin; a good base for bird watching.,Standard,0,20,Yes,,"Non-powered/tent sites, Toilets - non-flush, Toilets",,No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,Rivers and lakes,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/87127e62fa444cebbacae0d19b824441.aspx,https://www.doc.govt.nz/link/abce34f6b09948fd9900611277987b01.aspx,Located in Craigieburn Forest Park,1501021,5228474,100044421,6/25/2024 8:30:33 AM,ca0b4cf9-de40-44bd-be68-a6bc153aa7cb,1501021,5228474
156524,Avalanche Creek Shelter Campsite,Arthur's Pass National Park,Canterbury,"This standard camping site is just off the main road in the Arthur’s Pass village, almost directly opposite the visitor centre.",Standard,0,30,Yes,,"Non-powered/tent sites, Shelter for cooking, Toilets - flush, Wheelchair accessible with assistance, Water from tap - treated, suitable for drinking, Toilets",,No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/d4b9a00bd87f45e7be71a04a875e9b7d.aspx,https://www.doc.govt.nz/link/a47f519a49e2453da4a2b64be79bb847.aspx,Located in Arthur's Pass National Park,1482726,5244772,100064685,6/25/2024 8:30:33 AM,db162200-413c-42bf-881f-f36d2550d10b,1482726,5244772
156525,Boundary Creek Campsite,Hāwea Conservation Park,Otago,Boundary Creek Campsite is temporarily closed. Visitors can still walk through the campsite for fishing and day visits. There is limited roadside parking and there are no toilet facilities available.,Standard,0,23,Yes,,"Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Wheelchair accessible, Toilets, Water supply","Boating, Fishing",Dogs on a leash only. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-,Rivers and lakes,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/4091b2a432f64c16be74d976a0cf3bd7.jpg,https://www.doc.govt.nz/link/90a23815314c47ac877bbca00d029dfd.aspx,Located in Hāwea Conservation Park,1294664,5081905,100031420,6/25/2024 8:30:34 AM,485dc34e-3bd4-410c-8192-a14ef2b08b01,1294664,5081905
156526,Rarangi Campsite,Blenheim area,Marlborough,"Camp next to the beach. Fish, walk, picnic, or simply sit and enjoy the roar of the waves.",Standard,0,40,Yes,,"Non-powered/tent sites, Shower - cold, Toilets - flush, Water from tap - not treated, boil before use, Wheelchair accessible, Toilets, Water supply",,Dogs on a leash only. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-,Coastal,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/1b698c516b714b63b30de03203738e17.jpg,https://www.doc.govt.nz/link/f5c4e8776bee486aaa1ae8ebdc1e48f8.aspx,Located in Blenheim area,1687530,5417097,100030520,6/25/2024 8:30:34 AM,4c979bf5-3953-4dcd-9ef6-63606bd256c1,1687530,5417097
156527,Onamalutu Campsite,Mount Richmond Forest Park,Marlborough,This Standard campsite is set in remnant podocarp forest.,Standard,4,50,No,,"Non-powered/tent sites, Powered sites, Toilets - flush, Water from tap - not treated, boil before use, Toilets, Water supply",Walking and tramping,No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,Forest,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/0c8d0010d6d04ac084295dff8dacb611.jpg,https://www.doc.govt.nz/link/f177c2cd653c42a395dcabb202736d56.aspx,Located in Mount Richmond Forest Park,1658993,5410100,100066491,6/25/2024 8:30:34 AM,52e2b520-726a-45a6-91c6-f6a08f6d2bf5,1658993,5410100
156528,Uretiti Beach Campsite,Waipu area,Northland,"Camp behind the sand dunes of Uretiti Beach, a sandy surf beach.",Standard,0,300,Yes,,"Non-powered/tent sites, Shelter for cooking, Shower - hot, Wheelchair accessible, Water from tap - treated, suitable for drinking, Toilets - non-flush, Toilets","Fishing, Swimming, Walking and tramping",No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,Coastal,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/a546fecaa6024f05a5b2a08e89a37a81.jpg,https://www.doc.govt.nz/link/6c1bd6b65cc247259685a1a3407b1ad8.aspx,Located in Waipu area,1731699,6022410,100065350,6/25/2024 8:30:34 AM,4e5d5ccf-0778-454d-9213-958114c34377,1731699,6022410
156529,Broken Hills Campsite,Broken Hills area,Coromandel,The Broken Hills Campsite is located beside the Tairua River among native bush. This is a standard campsite in the Coromandel region.,Standard,0,45,Yes,,"Non-powered/tent sites, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply","Fishing, Kayaking and canoeing, Swimming",No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,"Forest, Rivers and lakes","Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/7ae09ece5bcd44159f470be062799286.jpg,https://www.doc.govt.nz/link/78424e3609784ff685a9ae12f2331cf9.aspx,Located in Broken Hills area,1843345,5889917,100065592,6/25/2024 8:30:35 AM,4b2adf24-35e6-4c08-99f8-be56b604871b,1843345,5889917
156530,Butchers Flat Campsite,Mount Richmond Forest Park,Marlborough,"This grassy, flat camping area was once a gold mining area and is great for picnicking or swimming. You'll also find walking and mountain biking opportunities nearby.",Standard,0,20,No,,"Non-powered/tent sites, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply","Mountain biking, Picnicking, Swimming, Walking and tramping",Dogs with a DOC permit only. Contact closest <a href=""#contacts"">DOC office</a> to get a permit. <a ,Rivers and lakes,"Campervan, Car",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/fd76a102f4044c8087b89a7675f22132.aspx,https://www.doc.govt.nz/link/7029023d398e4f19b3d99c2ad2bb695f.aspx,Located in Mount Richmond Forest Park,1649697,5419298,100066095,6/25/2024 8:30:35 AM,39104019-0d69-4ec4-9800-53862b51ed18,1649697,5419298
156531,Canaan Downs Campsite,Canaan Downs Scenic Reserve,Nelson/Tasman,Camp in Canaan Downs near mountain bike and tramping tracks.,Standard,0,10,Yes,,"Non-powered/tent sites, Water from tap - not treated, boil before use, Wheelchair accessible, Toilets - non-flush, Toilets, Water supply","Caving, Mountain biking, Walking and tramping",No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,,Car,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/813e214455d54cf1914d97d655f0a27f.jpg,https://www.doc.govt.nz/link/6bb0bf7db1de4fb5b060da768d052425.aspx,Located in Canaan Downs Scenic Reserve,1590897,5467579,100038588,6/25/2024 8:30:35 AM,e37c23db-4469-4e6f-b772-b7dcba1eac7e,1590897,5467579
156532,Catchpool Valley Campsite,Catchpool Valley & Ōrongorongo Valley,Wellington/Kapiti,This is a standard campsite in the Wellington region. Camp beside Catchpool Stream close to walks in the Ōrongorongo Valley.,Standard,0,76,Yes,,"BBQ, Non-powered/tent sites, Phone, Shelter for cooking, Shower - cold, Toilets - flush, Water from tap - not treated, boil before use, Wheelchair accessible, Toilets, Water supply","Mountain biking, Picnicking, Swimming, Walking and tramping",Dogs on a leash only. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-,,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/5f66353a475b4d47b956b5abdac7dcfb.jpg,https://www.doc.govt.nz/link/ac8b661052304272ad2d7f6fbd5ef61c.aspx,Located in Catchpool Valley & Ōrongorongo Valley,1760876,5420387,100044321,6/25/2024 8:30:36 AM,7042a614-b0d3-469c-9479-4b35e4fe4615,1760876,5420387
156533,Purakaunui Bay Campsite,Catlins coastal area,Otago,Camp on the coast at this standard campsite. ,Standard,0,40,Yes,,"Fire pit/place for campfires (except in fire bans), Non-powered/tent sites, Water from tap - not treated, boil before use, Wheelchair accessible with assistance, Toilets - non-flush, Toilets, Water supply",,Dogs on a leash only. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-,Coastal,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/cfc4d68b65444b41821160668f4349cf.jpg,https://www.doc.govt.nz/link/ad25ee1b004e4298bf6e858eeaa34121.aspx,Located in Catlins coastal area,1340242,4839816,100031416,6/25/2024 8:30:36 AM,37af5820-ca7c-4017-842c-c9f22244fe9b,1340242,4839816
156534,Tawanui Campsite,Catlins coastal area,Otago,This is a standard campsite in the Coastal Otago area. This isolated campsite is in a clearing beside the river. Day walk the Catlins River Track through silver beech forest.,Standard,0,60,Yes,,"Fire pit/place for campfires (except in fire bans), Non-powered/tent sites, Toilets - flush, Water from tap - not treated, boil before use, Toilets, Water supply",,Dogs on a leash only. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-,"Forest, Rivers and lakes","Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/af92c04063bf42088f064e6725a2129b.aspx,https://www.doc.govt.nz/link/f7acb7636cde467e85f440fe2cbb6639.aspx,Located in Catlins coastal area,1330717,4849046,100031417,6/25/2024 8:30:36 AM,51a38b95-0151-43a4-a996-170099e2352d,1330717,4849046
156535,Anaura Bay Campsite,Anaura Bay area,East Coast,Camp next to a beautiful beach and alongside a stream. The site is surrounded by forest and coastal bush. You must provide your own chemical toilet at this site.,Standard,0,81,Yes,,"Dump station, Non-powered/tent sites, Water from tap - not treated, boil before use, Toilets, Water supply","Diving and snorkelling, Fishing, Swimming, Walking and tramping",Dogs on a leash only. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-,Coastal,"Campervan, Car, Caravan, Mountain bike",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/d7cb9cc22ec048b8be945d5a05700efc.jpg,https://www.doc.govt.nz/link/dad0064727ed4bdeaceef9c1286665f3.aspx,Located in Anaura Bay area,2064734,5754983,100043677,6/25/2024 8:30:37 AM,f7bbd120-06f9-4ad5-b0e6-48656fbe161a,2064734,5754983
156536,Mistletoe Flats Campsite,Craigieburn Forest Park,Canterbury,"This campsite is set in a landscape of beech forest, tussock and rugged mountains with mountain biking nearby. ",Standard,0,10,Yes,,"Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Wheelchair accessible with assistance, Toilets - non-flush, Toilets, Water supply",Mountain biking,Dogs on a leash only. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-,,Car,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/27d58c6048cc462ba8d562f0bea38042.jpg,https://www.doc.govt.nz/link/01f462ef4ae94fbdb2b897e4693a9d62.aspx,Located in Craigieburn Forest Park,1496812,5221620,100043673,6/25/2024 8:30:37 AM,a26ad014-63d8-4d4c-a490-b8d1a6bb1927,1496812,5221620
156537,Port Jackson Campsite,Northern Coromandel,Coromandel,"At the northern tip of the Peninsula, this campsite is at the water’s edge next to the beach. At the eastern end of the campsite, the Muriwai Coastal Walk leads up the headland towards Wharekaiatua Pa and along the coast, with stunning coastal views. ",Backcountry,0,37,Yes,,"Non-powered/tent sites, Shelter for cooking, Shower - cold, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply","Boating, Diving and snorkelling, Fishing, Kayaking and canoeing, Swimming",No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,Coastal,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/284e07c3ffed40edabf2f097587c6fc7.aspx,https://www.doc.govt.nz/link/2809ded6633d41b4a2650aa25d0e7e82.aspx,Located in Northern Coromandel,1809781,5959816,100044312,6/25/2024 8:30:37 AM,c8fea9fb-8a9a-48da-91a9-8d3c4467cbc9,1809781,5959816
156538,Fantail Bay Campsite,Northern Coromandel,Coromandel,Camp in peaceful surroundings beneath pōhutukawa trees. A track with outstanding views leads to the bushline. ,Backcountry,0,16,Yes,,"Non-powered/tent sites, Shower - cold, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply","Fishing, Walking and tramping",No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,Coastal,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/f62b434196294559bbdee495aafae395.aspx,https://www.doc.govt.nz/link/236fdb570e1e441197f98ddf0abc84f7.aspx,Located in Northern Coromandel,1808450,5955320,100065594,6/25/2024 8:30:38 AM,cb67a5ab-a1b7-480b-b537-7bfa8a95456d,1808450,5955320
156539,Fletcher Bay Campsite,Northern Coromandel,Coromandel,"This is a beach front campsite in a farm setting.  An ideal location for water sports, including swimming, boating, diving and fishing. ",Backcountry,0,45,Yes,,"Non-powered/tent sites, Shower - cold, Water from tap - not treated, boil before use, Wheelchair accessible with assistance, Toilets - non-flush, Toilets, Water supply","Diving and snorkelling, Fishing, Mountain biking, Walking and tramping",No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,Coastal,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/1922677a3d134da9a41dc04b6fdf898f.aspx,https://www.doc.govt.nz/link/77f46252bed44dbc94e8ab353f1dc43e.aspx,Located in Northern Coromandel,1814136,5960540,100065595,6/25/2024 8:30:38 AM,3b2dd1f3-97ed-4139-93b6-d2fd4d57365b,1814136,5960540
156540,Gillespies Beach Campsite,Gillespies Beach,West Coast,"Camp near an old gold mining settlement and a seal colony. Tracks lead to historic suction and bucket dredges, and Galway Beach.",Standard,0,8,Yes,,"Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply",Walking and tramping,Dogs on a leash only. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-,Coastal,Car,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/1b78d7d695b345b6aece508289bc2142.jpg,https://www.doc.govt.nz/link/bb8bc172d4084803ba9f006110b6cb1e.aspx,Located in Gillespies Beach,1343216,5188984,100066041,6/25/2024 8:30:38 AM,4f116ad9-ae8a-440a-a34e-b5b1d2a529f5,1343216,5188984
156541,Otto/macdonalds Campsite,Franz Josef Glacier/Kā Roimata o Hine Hukatere,West Coast,"An easily accessible campsite. You can boat, fish for trout or swim in Lake Mapourika.",Standard,0,20,Yes,,"Boat launching, Non-powered/tent sites, Shelter for cooking, Toilets - flush, Water from tap - not treated, boil before use, Wheelchair accessible with assistance, Toilets, Water supply","Boating, Fishing, Swimming",No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,Rivers and lakes,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/53352c771f1f4ed28027675f870fa157.jpg,https://www.doc.govt.nz/link/b372a1f0ccb9402585e3f354ee53730e.aspx,Located in Franz Josef Glacier/Kā Roimata o Hine Hukatere,1374926,5202284,100044561,6/25/2024 8:30:38 AM,a15b39c3-6bf8-45e0-a5a0-1a6d5e5bf0c2,1374926,5202284
156542,Elaine Bay Campsite,Pelorus Sound/Te Hoiere and Kenepuru Sound area,Marlborough,This campsite offers a good base for exploring Pelorus Sound by boat and walking or mountain biking nearby tracks.,Standard,0,20,No,,"Jetty, Non-powered/tent sites, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply",,No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,Coastal,"Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/707ae3bc736749d8ad9f892ed13a7e3c.jpg,https://www.doc.govt.nz/link/b00e7f8dcb7c4d7eb4cb8113c7a09571.aspx,Located in Pelorus Sound/Te Hoiere and Kenepuru Sound area,1664668,5454821,100066098,6/25/2024 8:30:39 AM,648cb3e3-948f-4f5c-87ad-bea59335ef55,1664668.2689,5454821.3906
156543,French Pass Campsite,French Pass and D'Urville Island Scenic Reserves,Marlborough,"This campsite is a great base for boating, fishing, swimming and kayaking and is the gateway to Rangitoto ki te Tonga/D’Urville Island.",Standard,0,18,Yes,,"Boat launching, Jetty, Non-powered/tent sites, Shower - cold, Toilets - flush, Water from tap - not treated, boil before use, Wheelchair accessible with assistance, Toilets, Water supply","Boating, Fishing, Kayaking and canoeing, Swimming",No dogs. <a href=""https://www.doc.govt.nz/parks-and-recreation/know-before-you-go/pets-on-conservati,Coastal,"Boat, Campervan, Car, Caravan",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/e6459170552449e6b4d1d59ecd23bfa1.aspx,https://www.doc.govt.nz/link/c6b97f7d7895433bbf4cbf5cf8653886.aspx,Located in French Pass and D'Urville Island Scenic Reserves,1670933,5469114,100044094,6/25/2024 8:30:39 AM,518c95bb-cdcd-4c68-b793-597bc7e64b4d,1670933,5469114
